iter	RMSE
0	4034.781004
1	3567.201265
2	3203.195404
3	2933.015981
4	2732.441217
5	2582.573083
6	2473.905369
7	2395.370624
8	2336.063741
9	2290.540152
10	2259.220243
11	2235.987675
12	2219.150375
13	2205.890734
14	2195.32518
15	2187.642971
16	2181.0769
17	2175.848235
18	2171.249935
19	2168.02322
20	2165.822129
21	2162.250451
22	2160.168088
23	2158.631111
24	2155.348137
25	2153.550412
26	2152.341867
27	2151.226015
28	2149.528845
29	2147.816205
30	2147.078741
31	2146.024418
32	2145.283965
33	2144.410074
34	2142.972747
35	2140.850435
36	2140.047796
37	2138.998065
38	2137.175281
39	2136.468298
40	2135.731014
41	2134.618133
42	2133.681134
43	2132.811291
44	2132.418085
45	2130.68623
46	2130.311707
47	2128.891645
48	2127.751448
49	2126.614807
50	2125.009857
51	2123.595419
52	2122.946554
53	2121.277678
54	2120.462086
55	2119.994484
56	2119.354067
57	2116.288873
58	2116.096611
59	2115.488599
60	2114.636259
61	2113.911371
62	2113.3847
63	2112.453594
64	2111.536362
65	2108.108077
66	2105.827783
67	2104.547173
68	2103.507017
69	2103.085923
70	2102.632324
71	2101.924847
72	2101.047876
73	2099.299304
74	2098.005493
75	2097.85079
76	2097.488841
77	2097.340425
78	2096.850381
79	2095.644193
80	2094.320032
81	2093.067014
82	2092.529111
83	2090.839862
84	2089.331176
85	2088.783922
86	2088.113476
87	2087.065273
88	2086.125752
89	2085.288186
90	2084.524205
91	2083.654641
92	2082.671121
93	2082.555887
94	2081.929309
95	2081.021037
96	2080.21447
97	2079.092898
98	2078.460153
99	2077.548861
100	2076.992012
101	2076.089326
102	2075.261483
103	2074.279111
104	2073.303435
105	2071.775294
106	2071.2573
107	2070.77915
108	2070.21083
109	2067.633814
110	2066.777248
111	2066.086897
112	2065.802275
113	2065.334644
114	2064.585587
115	2064.113734
116	2063.024423
117	2062.411427
118	2061.688455
119	2061.412763
120	2060.584746
121	2060.321695
122	2059.816774
123	2059.291753
124	2059.223625
125	2058.443647
126	2058.090775
127	2057.677015
128	2057.171334
129	2056.756676
130	2056.393438
131	2056.141009
132	2055.079189
133	2054.366144
134	2053.787145
135	2053.224103
136	2052.825407
137	2051.673894
138	2050.068898
139	2049.752182
140	2049.029841
141	2047.919956
142	2047.493883
143	2046.611535
144	2045.758834
145	2045.459504
146	2044.722454
147	2044.22169
148	2043.718555
149	2043.276925
150	2042.576539
151	2042.00439
152	2041.299481
153	2040.268459
154	2039.84257
155	2039.709792
156	2039.091063
157	2038.52497
158	2037.99565
159	2037.247268
160	2036.675745
161	2036.391571
162	2036.062953
163	2035.691669
164	2035.379459
165	2035.137275
166	2034.543788
167	2034.126176
168	2033.768957
169	2033.339395
170	2032.745445
171	2032.387395
172	2031.932778
173	2031.196311
174	2030.722057
175	2030.319894
176	2029.759407
177	2029.536786
178	2028.891372
179	2028.551776
180	2027.96648
181	2027.707374
182	2027.433408
183	2026.87681
184	2026.263538
185	2025.715131
186	2025.133297
187	2024.692241
188	2024.215649
189	2023.705402
190	2023.439904
191	2022.945086
192	2022.651868
193	2022.281915
194	2021.91409
195	2021.608515
196	2020.812102
197	2020.327289
198	2020.029775
199	2019.563413
200	2019.285497
201	2019.010297
202	2018.349388
203	2017.899414
204	2017.454111
205	2017.269613
206	2016.89805
207	2016.242857
208	2016.042829
209	2015.567306
210	2015.37547
211	2014.697456
212	2014.121639
213	2013.911316
214	2013.462895
215	2012.991826
216	2012.609542
217	2012.241844
218	2011.909464
219	2011.637278
220	2011.238421
221	2010.567082
222	2010.370678
223	2010.202094
224	2009.397854
225	2009.077355
226	2008.824704
227	2008.423422
228	2008.008709
229	2007.627088
230	2007.221196
231	2006.681007
232	2006.357964
233	2006.21871
234	2006.002022
235	2005.828403
236	2005.427705
237	2005.024845
238	2004.658059
239	2004.401826
240	2004.187326
241	2003.782371
242	2003.389528
243	2002.774744
244	2002.264506
245	2001.904302
246	2001.63487
247	2001.105761
248	2000.574145
249	1999.567184
250	1999.112281
251	1998.616628
252	1998.340651
253	1998.000674
254	1997.734068
255	1997.35511
256	1996.903356
257	1996.508065
258	1995.965355
259	1995.492101
260	1995.221664
261	1994.765762
262	1994.396946
263	1994.034603
264	1993.766312
265	1993.590059
266	1993.378146
267	1993.000751
268	1992.362792
269	1991.896393
270	1991.502758
271	1991.068262
272	1990.573538
273	1990.232009
274	1989.771016
275	1989.363103
276	1989.189718
277	1988.940185
278	1988.786421
279	1988.137057
280	1987.811739
281	1987.208951
282	1987.039079
283	1986.645964
284	1986.456908
285	1986.053411
286	1985.616597
287	1985.30116
288	1985.114472
289	1984.701223
290	1984.319839
291	1983.890561
292	1983.510155
293	1983.184607
294	1983.015565
295	1982.618869
296	1982.427698
297	1982.100203
298	1981.844
299	1981.517418
300	1981.156469
301	1980.960582
302	1980.547652
303	1980.143369
304	1979.906675
305	1979.58249
306	1979.076233
307	1978.757629
308	1978.485095
309	1978.123003
310	1977.935489
311	1977.679761
312	1977.23436
313	1976.881484
314	1976.532381
315	1976.367988
316	1976.067072
317	1975.907498
318	1975.468911
319	1975.115758
320	1974.984854
321	1974.53316
322	1974.328013
323	1973.809746
324	1973.490589
325	1973.176127
326	1972.771301
327	1972.311372
328	1971.818932
329	1971.527006
330	1971.081193
331	1970.759226
332	1970.503329
333	1970.149731
334	1969.744414
335	1969.470056
336	1969.239492
337	1969.152889
338	1968.955304
339	1968.48967
340	1968.07901
341	1967.860287
342	1967.54126
343	1967.32464
344	1967.123255
345	1966.98711
346	1966.848083
347	1966.495943
348	1966.302862
349	1965.963231
350	1965.656456
351	1965.31379
352	1965.164391
353	1964.886887
354	1964.609867
355	1964.267082
356	1964.04403
357	1963.828771
358	1963.480764
359	1963.240801
360	1962.882363
361	1962.651061
362	1962.522268
363	1962.303255
364	1962.029718
