iter	Passed	Remaining
0	28	14419
1	53	13605
2	79	13400
3	106	13503
4	137	13933
5	164	13827
6	192	13810
7	222	13935
8	250	13972
9	278	13942
10	305	13857
11	332	13814
12	361	13808
13	389	13791
14	417	13790
15	443	13685
16	469	13623
17	496	13572
18	521	13485
19	545	13376
20	567	13220
21	592	13138
22	615	13036
23	639	12942
24	665	12901
25	689	12829
26	712	12749
27	736	12676
28	763	12668
29	790	12643
30	816	12619
31	843	12596
32	867	12540
33	892	12492
34	915	12421
35	938	12361
36	959	12270
37	979	12171
38	1003	12119
39	1025	12050
40	1046	11969
41	1068	11908
42	1092	11860
43	1114	11803
44	1135	11736
45	1161	11715
46	1182	11652
47	1205	11601
48	1227	11546
49	1247	11481
50	1270	11436
51	1294	11405
52	1315	11342
53	1336	11289
54	1357	11228
55	1377	11168
56	1399	11121
57	1422	11088
58	1438	10994
59	1459	10943
60	1480	10897
61	1501	10851
62	1522	10804
63	1545	10770
64	1569	10742
65	1591	10706
66	1614	10678
67	1638	10648
68	1661	10618
69	1680	10565
70	1701	10518
71	1722	10478
72	1742	10430
73	1766	10405
74	1788	10375
75	1808	10325
76	1828	10282
77	1849	10241
78	1869	10197
79	1889	10156
80	1911	10123
81	1934	10097
82	1954	10056
83	1977	10029
84	1999	9997
85	2017	9948
86	2039	9915
87	2059	9878
88	2081	9847
89	2104	9821
90	2126	9790
91	2147	9757
92	2168	9725
93	2188	9686
94	2208	9646
95	2229	9613
96	2250	9581
97	2274	9562
98	2294	9526
99	2319	9509
100	2339	9475
101	2364	9457
102	2385	9427
103	2414	9425
104	2438	9406
105	2465	9396
106	2490	9379
107	2512	9350
108	2535	9326
109	2559	9307
110	2583	9286
111	2604	9255
112	2622	9215
113	2644	9185
114	2665	9156
115	2686	9124
116	2709	9100
117	2729	9067
118	2751	9042
119	2772	9009
120	2792	8978
121	2811	8942
122	2833	8914
123	2854	8886
124	2874	8853
125	2896	8826
126	2915	8792
127	2935	8759
128	2957	8734
129	2977	8704
130	3001	8684
131	3022	8654
132	3044	8630
133	3069	8613
134	3092	8590
135	3114	8566
136	3136	8540
137	3162	8524
138	3186	8506
139	3207	8476
140	3229	8451
141	3252	8429
142	3273	8401
143	3293	8372
144	3316	8349
145	3336	8317
146	3361	8299
147	3381	8270
148	3404	8249
149	3428	8228
150	3454	8213
151	3480	8197
152	3505	8179
153	3530	8161
154	3551	8134
155	3570	8103
156	3594	8081
157	3617	8059
158	3638	8032
159	3661	8008
160	3684	7987
161	3703	7956
162	3723	7927
163	3744	7900
164	3766	7876
165	3786	7846
166	3807	7820
167	3828	7793
168	3849	7767
169	3872	7744
170	3892	7717
171	3913	7691
172	3936	7667
173	3958	7644
174	3981	7622
175	4000	7592
176	4023	7569
177	4042	7539
178	4065	7518
179	4087	7493
180	4108	7468
181	4128	7440
182	4149	7414
183	4173	7394
184	4195	7370
185	4215	7342
186	4237	7319
187	4257	7291
188	4279	7268
189	4300	7243
190	4320	7215
191	4341	7191
192	4362	7165
193	4383	7140
194	4405	7115
195	4424	7087
196	4446	7064
197	4467	7039
198	4488	7014
199	4511	6993
200	4532	6968
201	4553	6943
202	4575	6919
203	4596	6895
204	4619	6872
205	4639	6846
206	4659	6820
207	4680	6795
208	4700	6769
209	4724	6748
210	4743	6722
211	4766	6700
212	4792	6681
213	4812	6656
214	4837	6637
215	4858	6612
216	4881	6591
217	4904	6569
218	4925	6544
219	4944	6517
220	4965	6493
221	4985	6467
222	5004	6441
223	5024	6415
224	5046	6392
225	5068	6368
226	5089	6345
227	5109	6319
228	5131	6296
229	5156	6277
230	5178	6254
231	5201	6232
232	5226	6214
233	5248	6190
234	5272	6170
235	5292	6145
236	5315	6123
237	5336	6098
238	5358	6076
239	5378	6050
240	5398	6026
241	5423	6005
242	5444	5981
243	5466	5959
244	5491	5939
245	5516	5919
246	5543	5902
247	5569	5884
248	5594	5863
249	5617	5842
250	5638	5818
251	5660	5795
252	5680	5770
253	5700	5745
254	5721	5721
255	5741	5696
256	5762	5673
257	5786	5651
258	5807	5628
259	5832	5607
260	5851	5582
261	5873	5559
262	5894	5535
263	5914	5511
264	5934	5486
265	5955	5463
266	5974	5437
267	5998	5416
268	6019	5392
269	6043	5371
270	6066	5350
271	6089	5327
272	6111	5305
273	6134	5283
274	6158	5262
275	6182	5242
276	6202	5216
277	6224	5194
278	6243	5169
279	6266	5147
280	6288	5124
281	6312	5103
282	6333	5080
283	6353	5056
284	6375	5033
285	6395	5009
286	6419	4987
287	6442	4965
288	6463	4942
289	6487	4921
290	6516	4903
291	6545	4886
292	6573	4868
293	6600	4849
294	6624	4828
295	6649	4807
296	6672	4785
297	6694	4762
298	6716	4739
299	6739	4717
300	6761	4695
301	6783	4672
302	6804	4648
303	6826	4626
304	6847	4602
305	6870	4580
306	6892	4557
307	6912	4533
308	6935	4511
309	6956	4488
310	6976	4464
311	7001	4443
312	7025	4422
313	7049	4400
314	7070	4377
315	7091	4353
316	7114	4331
317	7142	4312
318	7166	4290
319	7187	4267
320	7209	4244
321	7231	4222
322	7253	4199
323	7274	4176
324	7297	4153
325	7320	4132
326	7344	4110
327	7366	4087
328	7387	4064
329	7409	4041
330	7431	4018
331	7453	3996
332	7476	3974
333	7497	3951
334	7521	3929
335	7541	3905
336	7562	3882
337	7581	3858
338	7602	3834
339	7625	3812
340	7651	3792
341	7677	3771
342	7704	3751
343	7729	3729
344	7752	3707
345	7776	3685
346	7809	3668
347	7832	3646
348	7852	3622
349	7872	3598
350	7895	3576
351	7917	3553
352	7938	3530
353	7958	3507
354	7979	3484
355	8000	3461
356	8022	3438
357	8044	3415
358	8072	3395
359	8092	3372
360	8116	3349
361	8138	3327
362	8157	3303
363	8177	3280
364	8198	3256
365	8219	3234
366	8239	3210
367	8261	3187
368	8284	3165
369	8304	3142
370	8323	3118
371	8344	3095
372	8367	3073
373	8389	3050
374	8411	3028
375	8433	3005
376	8455	2982
377	8478	2960
378	8501	2938
379	8522	2915
380	8542	2892
381	8564	2869
